date;kier_wiatr;temp_pow;temp_grunt;suma_opad_doba;sr_pred_wiatr;wilg;
2008-01-01 06:00;null;0;null;null;null;null;
2008-01-02 06:00;null;-1;null;null;null;null;
2008-01-03 06:00;null;-6;null;null;null;null;
2008-01-04 06:00;null;-9;null;null;null;null;
2008-01-05 06:00;null;-5;null;null;null;null;
2008-01-06 06:00;null;-1;null;null;null;null;
2008-01-07 06:00;null;1;null;null;null;null;
2008-01-08 06:00;null;3;null;null;null;null;
2008-01-09 06:00;null;-2;null;null;null;null;
2008-01-10 06:00;null;-1;null;null;null;null;
2008-01-11 06:00;null;3;null;null;null;null;
2008-01-12 06:00;null;-1;null;null;null;null;
2008-01-13 06:00;null;0;null;null;null;null;
2008-01-14 06:00;null;1;null;null;null;null;
2008-01-15 06:00;null;2;null;null;null;null;
2008-01-16 06:00;null;3;null;null;null;null;
2008-01-17 06:00;null;1;null;null;null;null;
2008-01-18 06:00;null;4;null;null;null;null;
2008-01-19 06:00;null;7;null;null;null;null;
2008-01-20 06:00;null;4;null;null;null;null;
2008-01-21 06:00;null;9;null;null;null;null;
2008-01-22 06:00;null;8;null;null;null;null;
2008-01-23 06:00;null;-1;null;null;null;null;
2008-01-24 06:00;null;5;null;null;null;null;
2008-01-25 06:00;null;3;null;null;null;null;
2008-01-26 06:00;null;6;null;null;null;null;
2008-01-27 06:00;null;5;null;null;null;null;
2008-01-28 06:00;null;-3;null;null;null;null;
2008-01-29 06:00;null;5;null;null;null;null;
2008-01-30 06:00;null;0;null;null;null;null;
2008-01-31 06:00;null;2;null;null;null;null;
2008-02-01 06:00;null;3;null;null;null;null;
2008-02-02 06:00;null;2;null;null;null;null;
2008-02-03 06:00;null;-2;null;null;null;null;
2008-02-04 06:00;null;0;null;null;null;null;
2008-02-05 06:00;null;1;null;null;null;null;
2008-02-06 06:00;null;6;null;null;null;null;
2008-02-07 06:00;null;3;null;null;null;null;
2008-02-08 06:00;null;-2;null;null;null;null;
2008-02-09 06:00;null;4;null;null;null;null;
2008-02-10 06:00;null;2;null;null;null;null;
2008-02-11 06:00;null;-1;null;null;null;null;
2008-02-12 06:00;null;2;null;null;null;null;
2008-02-13 06:00;null;2;null;null;null;null;
2008-02-14 06:00;null;1;null;null;null;null;
2008-02-15 06:00;null;-3;null;null;null;null;
2008-02-16 06:00;null;-5;null;null;null;null;
2008-02-17 06:00;null;-7;null;null;null;null;
2008-02-18 06:00;null;1;null;null;null;null;
2008-02-19 06:00;null;5;null;null;null;null;
2008-02-20 06:00;null;3;null;null;null;null;
2008-02-21 06:00;null;4;null;null;null;null;
2008-02-22 06:00;null;8;null;null;null;null;
2008-02-23 06:00;null;6;null;null;null;null;
2008-02-24 06:00;null;7;null;null;null;null;
2008-02-25 06:00;null;4;null;null;null;null;
2008-02-26 06:00;null;1;null;null;null;null;
2008-02-27 06:00;null;6;null;null;null;null;
2008-02-28 06:00;null;1;null;null;null;null;
2008-02-29 06:00;null;1;null;null;null;null;
2008-03-01 06:00;null;7;null;null;null;null;
2008-03-02 06:00;null;3;null;null;null;null;
2008-03-03 06:00;null;4;null;null;null;null;
2008-03-04 06:00;null;2;null;null;null;null;
2008-03-05 06:00;null;0;null;null;null;null;
2008-03-06 06:00;null;-1;null;null;null;null;
2008-03-07 06:00;null;4;null;null;null;null;
2008-03-08 06:00;null;4;null;null;null;null;
2008-03-09 06:00;null;5;null;null;null;null;
2008-03-10 06:00;null;4;null;null;null;null;
2008-03-11 06:00;null;1;null;null;null;null;
2008-03-12 06:00;null;7;null;null;null;null;
2008-03-13 06:00;null;6;null;null;null;null;
2008-03-14 06:00;null;3;null;null;null;null;
2008-03-15 06:00;null;4;null;null;null;null;
2008-03-16 06:00;null;3;null;null;null;null;
2008-03-17 06:00;null;4;null;null;null;null;
2008-03-18 06:00;null;0;null;null;null;null;
2008-03-19 06:00;null;-3;null;null;null;null;
2008-03-20 06:00;null;-2;null;null;null;null;
2008-03-21 06:00;null;1;null;null;null;null;
2008-03-22 06:00;null;1,9;null;null;null;null;
2008-03-23 06:00;null;0,6;null;null;null;null;
2008-03-24 06:00;null;-1,2;null;null;null;null;
2008-03-25 06:00;null;-2;null;null;null;null;
2008-03-26 06:00;null;-1;null;null;null;null;
2008-03-27 06:00;null;-2;null;null;null;null;
2008-03-28 06:00;null;0;null;null;null;null;
2008-03-29 06:00;null;6;null;null;null;null;
2008-03-30 06:00;null;3;null;null;null;null;
2008-03-31 06:00;null;6;null;null;null;null;
2008-04-01 06:00;null;4;null;null;null;null;
2008-04-02 06:00;null;8;null;null;null;null;
2008-04-03 06:00;null;6;null;null;null;null;
2008-04-04 06:00;null;5,5;null;null;null;null;
2008-04-05 06:00;null;2,1;null;null;null;null;
2008-04-06 06:00;null;5,9;null;null;null;null;
2008-04-07 06:00;null;3,9;null;null;null;null;
2008-04-08 06:00;null;3,4;null;null;null;null;
2008-04-09 06:00;null;4;null;null;null;null;
2008-04-10 06:00;null;4;null;null;null;null;
2008-04-11 06:00;null;5;null;null;null;null;
2008-04-12 06:00;null;8;null;null;null;null;
2008-04-13 06:00;null;5;null;null;null;null;
2008-04-14 06:00;null;8;null;null;null;null;
2008-04-15 06:00;null;8;null;null;null;null;
2008-04-16 06:00;null;6;null;null;null;null;
2008-04-17 06:00;null;5;null;null;null;null;
2008-04-18 06:00;null;5;null;null;null;null;
2008-04-19 06:00;null;4;null;null;null;null;
2008-04-20 06:00;null;6;null;null;null;null;
2008-04-21 06:00;null;8;null;null;null;null;
2008-04-22 06:00;null;9;null;null;null;null;
2008-04-23 06:00;null;7;null;null;null;null;
2008-04-24 06:00;null;7;null;null;null;null;
2008-04-25 06:00;null;10;null;null;null;null;
2008-04-26 06:00;null;9;null;null;null;null;
2008-04-27 06:00;null;7;null;null;null;null;
2008-04-28 06:00;null;12;null;null;null;null;
2008-04-29 06:00;null;12;null;null;null;null;
2008-04-30 06:00;null;11;null;null;null;null;
2008-05-01 06:00;null;12;null;null;null;null;
2008-05-02 06:00;null;10;null;null;null;null;
2008-05-03 06:00;null;10;null;null;null;null;
2008-05-04 06:00;null;8;null;null;null;null;
2008-05-05 06:00;null;12;null;null;null;null;
2008-05-06 06:00;null;12;null;null;null;null;
2008-05-07 06:00;null;9;null;null;null;null;
2008-05-08 06:00;null;13;null;null;null;null;
2008-05-09 06:00;null;12;null;null;null;null;
2008-05-10 06:00;null;15;null;null;null;null;
2008-05-11 06:00;null;14;null;null;null;null;
2008-05-12 06:00;null;14;null;null;null;null;
2008-05-13 06:00;null;10;null;null;null;null;
2008-05-14 06:00;null;10;null;null;null;null;
2008-05-15 06:00;null;13;null;null;null;null;
2008-05-16 06:00;null;15;null;null;null;null;
2008-05-17 06:00;null;14;null;null;null;null;
2008-05-18 06:00;null;13;null;null;null;null;
2008-05-19 06:00;null;8;null;null;null;null;
2008-05-20 06:00;null;10;null;null;null;null;
2008-05-21 06:00;null;11;null;null;null;null;
2008-05-22 06:00;null;11;null;null;null;null;
2008-05-23 06:00;null;13;null;null;null;null;
2008-05-24 06:00;null;13;null;null;null;null;
2008-05-25 06:00;null;13;null;null;null;null;
2008-05-26 06:00;null;13;null;null;null;null;
2008-05-27 06:00;null;16;null;null;null;null;
2008-05-28 06:00;null;13;null;null;null;null;
2008-05-29 06:00;null;13;null;null;null;null;
2008-05-30 06:00;null;15;null;null;null;null;
2008-05-31 06:00;null;19;null;null;null;null;
2008-06-01 06:00;null;19;null;null;null;null;
2008-06-02 06:00;null;21;null;null;null;null;
2008-06-03 06:00;null;19;null;null;null;null;
2008-06-04 06:00;null;16;null;null;null;null;
2008-06-05 06:00;null;17;null;null;null;null;
2008-06-06 06:00;null;18;null;null;null;null;
2008-06-07 06:00;null;20;null;null;null;null;
2008-06-08 06:00;null;19;null;null;null;null;
2008-06-09 06:00;null;18;null;null;null;null;
2008-06-10 06:00;null;19;null;null;null;null;
2008-06-11 06:00;null;16;null;null;null;null;
2008-06-12 06:00;null;14;null;null;null;null;
2008-06-13 06:00;null;16;null;null;null;null;
2008-06-14 06:00;null;11;null;null;null;null;
2008-06-15 06:00;null;11;null;null;null;null;
2008-06-16 06:00;null;12;null;null;null;null;
2008-06-17 06:00;null;13;null;null;null;null;
2008-06-18 06:00;null;17;null;null;null;null;
2008-06-19 06:00;null;17;null;null;null;null;
2008-06-20 06:00;null;19;null;null;null;null;
2008-06-21 06:00;null;15;null;null;null;null;
2008-06-22 06:00;null;17;null;null;null;null;
2008-06-23 06:00;null;18;null;null;null;null;
2008-06-24 06:00;null;14;null;null;null;null;
2008-06-25 06:00;null;16;null;null;null;null;
2008-06-26 06:00;null;19;null;null;null;null;
2008-06-27 06:00;null;19;null;null;null;null;
2008-06-28 06:00;null;16;null;null;null;null;
2008-06-29 06:00;null;18;null;null;null;null;
2008-06-30 06:00;null;19;null;null;null;null;
2008-07-01 06:00;null;18;null;null;null;null;
2008-07-02 06:00;null;20;null;null;null;null;
2008-07-03 06:00;null;21;null;null;null;null;
2008-07-04 06:00;null;21;null;null;null;null;
2008-07-05 06:00;null;16;null;null;null;null;
2008-07-06 06:00;null;18;null;null;null;null;
2008-07-07 06:00;null;18;null;null;null;null;
2008-07-08 06:00;null;18;null;null;null;null;
2008-07-09 06:00;null;16;null;null;null;null;
2008-07-10 06:00;null;16;null;null;null;null;
2008-07-11 06:00;null;20;null;null;null;null;
2008-07-12 06:00;null;21;null;null;null;null;
2008-07-13 06:00;null;18;null;null;null;null;
2008-07-14 06:00;null;14;null;null;null;null;
2008-07-15 06:00;null;16;null;null;null;null;
2008-07-16 06:00;null;18;null;null;null;null;
2008-07-17 06:00;null;15;null;null;null;null;
2008-07-18 06:00;null;16;null;null;null;null;
2008-07-19 06:00;null;16;null;null;null;null;
2008-07-20 06:00;null;16;null;null;null;null;
2008-07-21 06:00;null;14;null;null;null;null;
2008-07-22 06:00;null;14;null;null;null;null;
2008-07-23 06:00;null;16;null;null;null;null;
2008-07-24 06:00;null;16;null;null;null;null;
2008-07-25 06:00;null;20;null;null;null;null;
2008-07-26 06:00;null;21;null;null;null;null;
2008-07-27 06:00;null;22;null;null;null;null;
2008-07-28 06:00;null;21;null;null;null;null;
2008-07-29 06:00;null;21;null;null;null;null;
2008-07-30 06:00;null;19;null;null;null;null;
2008-07-31 06:00;null;20;null;null;null;null;
2008-08-01 06:00;null;22;null;null;null;null;
2008-08-02 06:00;null;21;null;null;null;null;
2008-08-03 06:00;null;17;null;null;null;null;
2008-08-04 06:00;null;19;null;null;null;null;
2008-08-05 06:00;null;17;null;null;null;null;
2008-08-06 06:00;null;17;null;null;null;null;
2008-08-07 06:00;null;18;null;null;null;null;
2008-08-08 06:00;null;21;null;null;null;null;
2008-08-09 06:00;null;16;null;null;null;null;
2008-08-10 06:00;null;14;null;null;null;null;
2008-08-11 06:00;null;18;null;null;null;null;
2008-08-12 06:00;null;20;null;null;null;null;
2008-08-13 06:00;null;17;null;null;null;null;
2008-08-14 06:00;null;19;null;null;null;null;
2008-08-15 06:00;null;18;null;null;null;null;
2008-08-16 06:00;null;11;null;null;null;null;
2008-08-17 06:00;null;13;null;null;null;null;
2008-08-18 06:00;null;14;null;null;null;null;
2008-08-19 06:00;null;18;null;null;null;null;
2008-08-20 06:00;null;18;null;null;null;null;
2008-08-21 06:00;null;16;null;null;null;null;
2008-08-22 06:00;null;16;null;null;null;null;
2008-08-23 06:00;null;16;null;null;null;null;
2008-08-24 06:00;null;12;null;null;null;null;
2008-08-25 06:00;null;15;null;null;null;null;
2008-08-26 06:00;null;15;null;null;null;null;
2008-08-27 06:00;null;16;null;null;null;null;
2008-08-28 06:00;null;15;null;null;null;null;
2008-08-29 06:00;null;16;null;null;null;null;
2008-08-30 06:00;null;11;null;null;null;null;
2008-08-31 06:00;null;11;null;null;null;null;
2008-09-01 06:00;null;14;null;null;null;null;
2008-09-02 06:00;null;17;null;null;null;null;
2008-09-03 06:00;null;18;null;null;null;null;
2008-09-04 06:00;null;15;null;null;null;null;
